signal.auto	noise.auto	sn.auto	noise.chrx	noise.chry	sample.id	lf
0.258928064525163	0.286260782804401	0.904518118019981	0.256509695943454	0.10131869295765	tumor.female1	Pre-normalization
0.336532486084149	0.29244206893877	1.15076632888482	0.235950278722225	0.10653567757945	tumor.female2	Pre-normalization
0.299898508014899	0.292367693847215	1.02575802431721	0.270855142653748	0.106197860494319	tumor.female3	Pre-normalization
0.272119681695052	0.292866399978066	0.929159786562856	0.295781145041918	0.0973473291989997	tumor.female4	Pre-normalization
0.345145610360103	0.290956752110901	1.18624368692618	0.304025821941958	0.100675719827581	tumor.female5	Pre-normalization
0.339491011378983	0.291574639387892	1.16433655578442	0.242837535575273	0.331917976527696	tumor.male1	Pre-normalization
0.315810418886698	0.286844483913629	1.10098132122977	0.28461544525415	0.27583542265878	tumor.male2	Pre-normalization
0.26893191270692	0.285376910744031	0.942374461920428	0.300760642646549	0.309396468760619	tumor.male3	Pre-normalization
0.260698252689049	0.291445894746563	0.894499656328143	0.270051430864334	0.27000745137885	tumor.male4	Pre-normalization
0.218642874922791	0.279509534513697	0.782237626717083	0.327365521675129	0.30338331474121	tumor.male5	Pre-normalization
0.262147380684295	0.282341239810035	0.928477118187457	0.270407206861914	NA	tumor.female1	1
0.335248540778979	0.269484449294243	1.24403668433175	0.271994389053408	NA	tumor.female2	1
0.301273950398015	0.294216480796012	1.02398733606937	0.271115501493406	NA	tumor.female3	1
0.269987081921224	0.273155097713621	0.988402135567251	0.315350761005537	NA	tumor.female4	1
0.341366341948738	0.223683036067361	1.52611636514956	0.214164936182533	NA	tumor.female5	1
0.33799759746954	0.290687073060255	1.16275413939538	0.264708769686716	0.017112283680894	tumor.male1	1
0.314999774653472	0.278906223014521	1.12941106601652	0.28673781889381	0.0153886089291	tumor.male2	1
0.268600176881079	0.285847233226654	0.939663378403599	0.307069942380243	0.0125081089695451	tumor.male3	1
0.255366216421124	0.239081783099524	1.06811239698184	0.215642272742575	0.010720824205094	tumor.male4	1
0.218141512583248	0.281125947444754	0.775956522569363	0.329230137274253	0.0139657997808202	tumor.male5	1
0.263560346321341	0.246074943854943	1.07105722424427	0.219500440962413	NA	tumor.female1	5
0.334267185198853	0.176520665025833	1.89364335982948	0.188641528567781	NA	tumor.female2	5
0.303502569717596	0.138443645035881	2.19224630815618	0.11750023610007	NA	tumor.female3	5
0.267445103106744	0.21435840521661	1.24765391325099	0.18474668397771	NA	tumor.female4	5
0.338930236513229	0.142194821959675	2.38356243808474	0.130003052923477	NA	tumor.female5	5
0.339805692308003	0.218329604394783	1.55638853122991	0.182849474847313	0.017112283680894	tumor.male1	5
0.308638074009426	0.24753874455198	1.24682733835477	0.257710032752445	0.0153886089291	tumor.male2	5
0.265139634814306	0.247209897299234	1.07252839676305	0.28829492364661	0.0125081089695451	tumor.male3	5
0.254775538139102	0.109423664520671	2.32834039378176	0.0933687631085839	0.010720824205094	tumor.male4	5
0.214381837390222	0.217445078145444	0.985912577183409	0.220663917933643	0.0139657997808202	tumor.male5	5
0.262403958292319	0.0175529785234927	14.9492553609133	0.0171251300555288	NA	tumor.female1	10
0.339389894519175	0.0216662834838431	15.6644260088383	0.0218601929623327	NA	tumor.female2	10
0.301396721358951	0.0155622230113089	19.3672023039336	0.0132442378176201	NA	tumor.female3	10
0.262688873335744	0.0170195559033299	15.4345315957597	0.016982501254599	NA	tumor.female4	10
0.339639243975098	0.0165045968964866	20.5784634490163	0.0172617506885514	NA	tumor.female5	10
0.339424124668998	0.0199497469534262	17.013956390595	0.0173601358342941	0.017112283680894	tumor.male1	10
0.305120695104345	0.0149609096136557	20.3945283397638	0.0158181035366481	0.0153886089291	tumor.male2	10
0.262996603441069	0.012924407336222	20.3488327626439	0.013489312026463	0.0125081089695451	tumor.male3	10
0.254268128989162	0.0155703415548712	16.3302858895613	0.016512611375489	0.010720824205094	tumor.male4	10
0.215555184425494	0.0125220457956849	17.214054950971	0.0130742135513808	0.0139657997808202	tumor.male5	10
